2025-06-19T13:45:58.258013+00:00 | MARIADB_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error='NoneType' object is not subscriptable
2025-06-19T13:46:36.317520+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:46:36.471829+00:00 | MARIADB_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error='NoneType' object is not subscriptable
2025-06-19T13:47:59.029827+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:47:59.188829+00:00 | MARIADB_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error='NoneType' object is not subscriptable
2025-06-19T13:49:07.249643+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:49:07.408218+00:00 | MARIADB_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error='NoneType' object is not subscriptable
2025-06-19T13:49:34.534524+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:49:34.692566+00:00 | MARIADB_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error='NoneType' object is not subscriptable
2025-06-19T13:50:19.180050+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:50:19.339456+00:00 | MARIADB_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error='NoneType' object is not subscriptable
2025-06-19T13:52:37.161466+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:54:22.839923+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:54:23.001551+00:00 | MARIADB_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier Vous ne pouvez commander plus que la quantité disponible
2025-06-19T13:55:00.660051+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:55:49.855746+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:56:57.431617+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:57:29.274909+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:57:29.525271+00:00 | MARIADB_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error='ids'
2025-06-19T13:57:59.121739+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
